category,religion,occasion,country,season,gender,min_age,max_age,weight
Voucher Spa ,all,mothers day,all,spring,female,20,100,50
"Tea set, cake, biscuit",all,mothers day,all,spring,female,20,100,36
Chocklets,all,mothers day,all,spring,female,20,100,50
"Home Gifts, Voucher",all,mothers day,all,spring,female,20,100,1
"Home Gifts, Wine gift box",all,mothers day,all,spring,female,20,100,4
"Home Gifts, Photo frame",all,mothers day,all,spring,female,20,100,2
"Home Gifts, Show piece",all,mothers day,all,spring,female,20,100,107
Jewellery,all,mothers day,all,spring,female,20,100,1
skincsare,all,mothers day,all,spring,female,20,100,1
bag,all,mothers day,all,spring,female,20,100,17
gin glass,all,mothers day,all,spring,female,20,100,2
dress and shoes,all,mothers day,all,spring,female,20,100,16
chocklet,all,mothers day,all,spring,female,20,100,1
"perfume, cosmetics",all,mothers day,all,spring,female,20,100,9
jewellery,all,mothers day,all,spring,female,20,100,2
water bottle ,all,mothers day,all,spring,female,20,100,1
cusion,all,mothers day,all,spring,female,20,100,1
hair dryier,all,mothers day,all,spring,female,20,100,3
show piece ,all,mothers day,all,spring,female,20,100,70
GIFT FOOD & ALCOHOL,all,mothers day,all,spring,female,20,100,1
JEWELLERY & WATCHES,all,mothers day,all,spring,female,20,100,36
HANDBAGS & PURSES,all,mothers day,all,spring,female,20,100,2
CANDLES & DIFFUSERS,all,mothers day,all,spring,female,20,100,3
BEAUTY & FRAGRANCE GIFT SETS,all,mothers day,all,spring,female,20,100,4
CARDS & GIFT WRAP,all,mothers day,all,spring,female,20,100,13
FRESH FLOWERS FROM WAITROSE & PARTNERS,all,mothers day,all,spring,female,20,100,18
FOOD AND DRINK,all,mothers day,all,spring,female,20,100,3
GADGETS,all,mothers day,all,spring,female,20,100,8
GIFT SET,all,mothers day,all,spring,female,20,100,6
GAMES,all,mothers day,all,spring,female,20,100,3
CARDS,all,mothers day,all,spring,female,20,100,1
"Grocery & Gourmet Food, Health & Household",all,mothers day,all,spring,female,20,100,17
"Clothing, Shoes & JewelrGrocery & Gourmet Food, y",all,mothers day,all,spring,female,20,100,2
"Grocery & Gourmet Food, Food & Beverage Gifts",all,mothers day,all,spring,female,20,100,5
Candy & Chocolate›Candy & Chocolate Assortments,all,mothers day,all,spring,female,20,100,13
"Grocery & Gourmet Food, Beverage",all,mothers day,all,spring,female,20,100,3
"Home & Kitchen, home decor",all,mothers day,all,spring,female,20,100,1
"Home & Kitchen, Kitchen & Dining ",all,mothers day,all,spring,female,20,100,2
Novelty & Special Use›Novelty›Tops & Tees›T-Shirts,,valentine day,all,winter,male,20,100,4
Fragrances›Men›Eau de Toilette,,valentine day,all,winter,male,20,100,2
"Wallets, Card Cases & Money Organizers›Men's›Wallets",,valentine day,all,winter,male,20,100,1
Artwork›Posters & Prints,,valentine day,all,winter,male,20,100,1
Shaving & Hair Removal›Manual Shaving›Accessories,,valentine day,all,winter,male,20,100,1
"Cooking & Dining›Tableware›Dishware & Serving Pieces›Cups, Mugs & Saucers›Mug Sets",,valentine day,all,winter,male,20,100,1
Accessories›Boxes & Organisers,,valentine day,all,winter,male,20,100,1
Bath & Body›Sets,,valentine day,all,winter,male,20,100,1
Women›Socks & Tights›Socks,,valentine day,all,winter,male,20,100,1
"Wallets, Card Cases & Money Organizers›Women's›Chequebook Covers",,valentine day,all,winter,male,20,100,2
Home Accessories›Photo Frames,,valentine day,all,winter,male,20,100,1
Men›Bracelets,,valentine day,all,winter,male,20,100,1
"Sports, Hobbies & Games›Fishing, Birdwatching & Other Outdoor Pursuits›Active Pursuits",,valentine day,all,winter,male,20,100,1
Shoes›Men's Shoes›Fashion & Athletic Trainers›Sports & Outdoor Shoes›Technical Skateboarding Shoes,,valentine day,all,winter,male,20,100,3
"Health, Family & Lifestyle",,valentine day,all,winter,male,20,100,1
"Health, Family & Lifestyle›Health Issues›Illnesses & Conditions",,valentine day,all,winter,male,20,100,2
Health Issues,,valentine day,all,winter,male,20,100,1
